Grammar0	0.428	0.84	0.932	0.161	0.525
Grammar5	0.417	0.847	0.913	0.153	0.554
Grammar6	0.348	0.902	0.944	0.098	0.656
Grammar3	0.371	0.869	0.929	0.131	0.559
Grammar4	0.415	0.828	0.891	0.172	0.609
Grammar15	0.388	0.87	0.927	0.13	0.601
Grammar14	0.388	0.883	0.936	0.117	0.66
Grammar13	0.334	0.923	0.963	0.077	0.711
Grammar12	0.439	0.81	0.89	0.19	0.504
Grammar19	0.379	0.877	0.929	0.123	0.616
Grammar18	0.391	0.871	0.938	0.129	0.549
Grammar17	0.35	0.904	0.943	0.096	0.733
Grammar16	0.417	0.836	0.901	0.164	0.54
Grammar11	0.399	0.853	0.921	0.147	0.518
Grammar10	0.366	0.889	0.944	0.111	0.676
Grammar9	0.351	0.879	0.935	0.121	0.635
Grammar7	0.401	0.858	0.904	0.142	0.633
Grammar24	0.34	0.902	0.962	0.098	0.637
Grammar8	0.423	0.82	0.909	0.18	0.583
Grammar23	0.365	0.892	0.936	0.108	0.677
Grammar22	0.435	0.819	0.927	0.181	0.467
Grammar21	0.343	0.905	0.953	0.095	0.705
Grammar20	0.346	0.88	0.928	0.12	0.626
Grammar1	0.378	0.892	0.943	0.108	0.652
Grammar2	0.414	0.852	0.926	0.148	0.501
Grammar0	0.428	0.84	0.932	0.161	0.525
Grammar5	0.417	0.847	0.913	0.153	0.554
Grammar6	0.348	0.902	0.944	0.098	0.656
Grammar3	0.371	0.869	0.929	0.131	0.559
Grammar4	0.415	0.828	0.891	0.172	0.609
Grammar15	0.388	0.87	0.927	0.13	0.601
Grammar14	0.388	0.883	0.936	0.117	0.66
Grammar13	0.334	0.923	0.963	0.077	0.711
Grammar12	0.439	0.81	0.89	0.19	0.504
Grammar19	0.379	0.877	0.929	0.123	0.616
Grammar18	0.391	0.871	0.938	0.129	0.549
Grammar17	0.35	0.904	0.943	0.096	0.733
Grammar16	0.417	0.836	0.901	0.164	0.54
Grammar11	0.399	0.853	0.921	0.147	0.518
Grammar10	0.366	0.889	0.944	0.111	0.676
Grammar9	0.351	0.879	0.935	0.121	0.635
Grammar7	0.401	0.858	0.904	0.142	0.633
Grammar24	0.34	0.902	0.962	0.098	0.637
Grammar8	0.423	0.82	0.909	0.18	0.583
Grammar23	0.365	0.892	0.936	0.108	0.677
Grammar22	0.435	0.819	0.927	0.181	0.467
Grammar21	0.343	0.905	0.953	0.095	0.705
Grammar20	0.346	0.88	0.928	0.12	0.626
Grammar1	0.378	0.892	0.943	0.108	0.652
Grammar2	0.414	0.852	0.926	0.148	0.501
Grammar0	0.428	0.84	0.932	0.161	0.525
Grammar5	0.417	0.847	0.913	0.153	0.554
Grammar6	0.348	0.902	0.944	0.098	0.656
Grammar3	0.371	0.869	0.929	0.131	0.559
Grammar4	0.415	0.828	0.891	0.172	0.609
Grammar15	0.388	0.87	0.927	0.13	0.601
Grammar14	0.388	0.883	0.936	0.117	0.66
Grammar13	0.334	0.923	0.963	0.077	0.711
Grammar12	0.439	0.81	0.89	0.19	0.504
Grammar19	0.379	0.877	0.929	0.123	0.616
Grammar18	0.391	0.871	0.938	0.129	0.549
Grammar17	0.35	0.904	0.943	0.096	0.733
Grammar16	0.417	0.836	0.901	0.164	0.54
Grammar11	0.399	0.853	0.921	0.147	0.518
Grammar10	0.366	0.889	0.944	0.111	0.676
Grammar9	0.351	0.879	0.935	0.121	0.635
Grammar7	0.401	0.858	0.904	0.142	0.633
Grammar24	0.34	0.902	0.962	0.098	0.637
Grammar8	0.423	0.82	0.909	0.18	0.583
Grammar23	0.365	0.892	0.936	0.108	0.677
Grammar22	0.435	0.819	0.927	0.181	0.467
Grammar21	0.343	0.905	0.953	0.095	0.705
Grammar20	0.346	0.88	0.928	0.12	0.626
Grammar1	0.378	0.892	0.943	0.108	0.652
Grammar2	0.414	0.852	0.926	0.148	0.501
Grammar0	0.428	0.84	0.932	0.161	0.525
Grammar5	0.417	0.847	0.913	0.153	0.554
Grammar6	0.348	0.902	0.944	0.098	0.656
Grammar3	0.371	0.869	0.929	0.131	0.559
Grammar4	0.415	0.828	0.891	0.172	0.609
Grammar15	0.388	0.87	0.927	0.13	0.601
Grammar14	0.388	0.883	0.936	0.117	0.66
Grammar13	0.334	0.923	0.963	0.077	0.711
Grammar12	0.439	0.81	0.89	0.19	0.504
Grammar19	0.379	0.877	0.929	0.123	0.616
Grammar18	0.391	0.871	0.938	0.129	0.549
Grammar17	0.35	0.904	0.943	0.096	0.733
Grammar16	0.417	0.836	0.901	0.164	0.54
Grammar11	0.399	0.853	0.921	0.147	0.518
Grammar10	0.366	0.889	0.944	0.111	0.676
Grammar9	0.351	0.879	0.935	0.121	0.635
Grammar7	0.401	0.858	0.904	0.142	0.633
Grammar24	0.34	0.902	0.962	0.098	0.637
Grammar8	0.423	0.82	0.909	0.18	0.583
Grammar23	0.365	0.892	0.936	0.108	0.677
Grammar22	0.435	0.819	0.927	0.181	0.467
Grammar21	0.343	0.905	0.953	0.095	0.705
Grammar20	0.346	0.88	0.928	0.12	0.626
Grammar1	0.378	0.892	0.943	0.108	0.652
Grammar2	0.414	0.852	0.926	0.148	0.501
Grammar0	0.428	0.84	0.932	0.161	0.525
Grammar5	0.417	0.847	0.913	0.153	0.554
Grammar6	0.348	0.902	0.944	0.098	0.656
Grammar3	0.371	0.869	0.929	0.131	0.559
Grammar4	0.415	0.828	0.891	0.172	0.609
Grammar15	0.388	0.87	0.927	0.13	0.601
Grammar14	0.388	0.883	0.936	0.117	0.66
Grammar13	0.334	0.923	0.963	0.077	0.711
Grammar12	0.439	0.81	0.89	0.19	0.504
Grammar19	0.379	0.877	0.929	0.123	0.616
Grammar18	0.391	0.871	0.938	0.129	0.549
Grammar17	0.35	0.904	0.943	0.096	0.733
Grammar16	0.417	0.836	0.901	0.164	0.54
Grammar11	0.399	0.853	0.921	0.147	0.518
Grammar10	0.366	0.889	0.944	0.111	0.676
Grammar9	0.351	0.879	0.935	0.121	0.635
Grammar7	0.401	0.858	0.904	0.142	0.633
Grammar24	0.34	0.902	0.962	0.098	0.637
Grammar8	0.423	0.82	0.909	0.18	0.583
Grammar23	0.365	0.892	0.936	0.108	0.677
Grammar22	0.435	0.819	0.927	0.181	0.467
Grammar21	0.343	0.905	0.953	0.095	0.705
Grammar20	0.346	0.88	0.928	0.12	0.626
Grammar1	0.378	0.892	0.943	0.108	0.652
Grammar2	0.414	0.852	0.926	0.148	0.501
Grammar0	0.428	0.84	0.932	0.161	0.525
Grammar5	0.417	0.847	0.913	0.153	0.554
Grammar6	0.348	0.902	0.944	0.098	0.656
Grammar3	0.371	0.869	0.929	0.131	0.559
Grammar4	0.415	0.828	0.891	0.172	0.609
Grammar15	0.388	0.87	0.927	0.13	0.601
Grammar14	0.388	0.883	0.936	0.117	0.66
Grammar13	0.334	0.923	0.963	0.077	0.711
Grammar12	0.439	0.81	0.89	0.19	0.504
Grammar19	0.379	0.877	0.929	0.123	0.616
Grammar18	0.391	0.871	0.938	0.129	0.549
Grammar17	0.35	0.904	0.943	0.096	0.733
Grammar16	0.417	0.836	0.901	0.164	0.54
Grammar11	0.399	0.853	0.921	0.147	0.518
Grammar10	0.366	0.889	0.944	0.111	0.676
Grammar9	0.351	0.879	0.935	0.121	0.635
Grammar7	0.401	0.858	0.904	0.142	0.633
Grammar24	0.34	0.902	0.962	0.098	0.637
Grammar8	0.423	0.82	0.909	0.18	0.583
Grammar23	0.365	0.892	0.936	0.108	0.677
Grammar22	0.435	0.819	0.927	0.181	0.467
Grammar21	0.343	0.905	0.953	0.095	0.705
Grammar20	0.346	0.88	0.928	0.12	0.626
Grammar1	0.378	0.892	0.943	0.108	0.652
Grammar2	0.414	0.852	0.926	0.148	0.501
Grammar0	0.428	0.84	0.932	0.161	0.525
Grammar5	0.417	0.847	0.913	0.153	0.554
Grammar6	0.348	0.902	0.944	0.098	0.656
Grammar3	0.371	0.869	0.929	0.131	0.559
Grammar4	0.415	0.828	0.891	0.172	0.609
Grammar15	0.388	0.87	0.927	0.13	0.601
Grammar14	0.388	0.883	0.936	0.117	0.66
Grammar13	0.334	0.923	0.963	0.077	0.711
Grammar12	0.439	0.81	0.89	0.19	0.504
Grammar19	0.379	0.877	0.929	0.123	0.616
Grammar18	0.391	0.871	0.938	0.129	0.549
Grammar17	0.35	0.904	0.943	0.096	0.733
Grammar16	0.417	0.836	0.901	0.164	0.54
Grammar11	0.399	0.853	0.921	0.147	0.518
Grammar10	0.366	0.889	0.944	0.111	0.676
Grammar9	0.351	0.879	0.935	0.121	0.635
Grammar7	0.401	0.858	0.904	0.142	0.633
Grammar24	0.34	0.902	0.962	0.098	0.637
Grammar8	0.423	0.82	0.909	0.18	0.583
Grammar23	0.365	0.892	0.936	0.108	0.677
Grammar22	0.435	0.819	0.927	0.181	0.467
Grammar21	0.343	0.905	0.953	0.095	0.705
Grammar20	0.346	0.88	0.928	0.12	0.626
Grammar1	0.378	0.892	0.943	0.108	0.652
Grammar2	0.414	0.852	0.926	0.148	0.501
Grammar0	0.428	0.84	0.932	0.161	0.525
Grammar5	0.417	0.847	0.913	0.153	0.554
Grammar6	0.348	0.902	0.944	0.098	0.656
Grammar3	0.371	0.869	0.929	0.131	0.559
Grammar4	0.415	0.828	0.891	0.172	0.609
Grammar15	0.388	0.87	0.927	0.13	0.601
Grammar14	0.388	0.883	0.936	0.117	0.66
Grammar13	0.334	0.923	0.963	0.077	0.711
Grammar12	0.439	0.81	0.89	0.19	0.504
Grammar19	0.379	0.877	0.929	0.123	0.616
Grammar18	0.391	0.871	0.938	0.129	0.549
Grammar17	0.35	0.904	0.943	0.096	0.733
Grammar16	0.417	0.836	0.901	0.164	0.54
Grammar11	0.399	0.853	0.921	0.147	0.518
Grammar10	0.366	0.889	0.944	0.111	0.676
Grammar9	0.351	0.879	0.935	0.121	0.635
Grammar7	0.401	0.858	0.904	0.142	0.633
Grammar24	0.34	0.902	0.962	0.098	0.637
Grammar8	0.423	0.82	0.909	0.18	0.583
Grammar23	0.365	0.892	0.936	0.108	0.677
Grammar22	0.435	0.819	0.927	0.181	0.467
Grammar21	0.343	0.905	0.953	0.095	0.705
Grammar20	0.346	0.88	0.928	0.12	0.626
Grammar1	0.378	0.892	0.943	0.108	0.652
Grammar2	0.414	0.852	0.926	0.148	0.501
Grammar0	0.428	0.84	0.932	0.161	0.525
Grammar5	0.417	0.847	0.913	0.153	0.554
Grammar6	0.348	0.902	0.944	0.098	0.656
Grammar3	0.371	0.869	0.929	0.131	0.559
Grammar4	0.415	0.828	0.891	0.172	0.609
Grammar15	0.388	0.87	0.927	0.13	0.601
Grammar14	0.388	0.883	0.936	0.117	0.66
Grammar13	0.334	0.923	0.963	0.077	0.711
Grammar12	0.439	0.81	0.89	0.19	0.504
Grammar19	0.379	0.877	0.929	0.123	0.616
Grammar18	0.391	0.871	0.938	0.129	0.549
Grammar17	0.35	0.904	0.943	0.096	0.733
Grammar16	0.417	0.836	0.901	0.164	0.54
Grammar11	0.399	0.853	0.921	0.147	0.518
Grammar10	0.366	0.889	0.944	0.111	0.676
Grammar9	0.351	0.879	0.935	0.121	0.635
Grammar7	0.401	0.858	0.904	0.142	0.633
Grammar24	0.34	0.902	0.962	0.098	0.637
Grammar8	0.423	0.82	0.909	0.18	0.583
Grammar23	0.365	0.892	0.936	0.108	0.677
Grammar22	0.435	0.819	0.927	0.181	0.467
Grammar21	0.343	0.905	0.953	0.095	0.705
Grammar20	0.346	0.88	0.928	0.12	0.626
Grammar1	0.378	0.892	0.943	0.108	0.652
Grammar2	0.414	0.852	0.926	0.148	0.501
Grammar0	0.428	0.84	0.932	0.161	0.525
Grammar5	0.417	0.847	0.913	0.153	0.554
Grammar6	0.348	0.902	0.944	0.098	0.656
Grammar3	0.371	0.869	0.929	0.131	0.559
Grammar4	0.415	0.828	0.891	0.172	0.609
Grammar15	0.388	0.87	0.927	0.13	0.601
Grammar14	0.388	0.883	0.936	0.117	0.66
Grammar13	0.334	0.923	0.963	0.077	0.711
Grammar12	0.439	0.81	0.89	0.19	0.504
Grammar19	0.379	0.877	0.929	0.123	0.616
Grammar18	0.391	0.871	0.938	0.129	0.549
Grammar17	0.35	0.904	0.943	0.096	0.733
Grammar16	0.417	0.836	0.901	0.164	0.54
Grammar11	0.399	0.853	0.921	0.147	0.518
Grammar10	0.366	0.889	0.944	0.111	0.676
Grammar9	0.351	0.879	0.935	0.121	0.635
Grammar7	0.401	0.858	0.904	0.142	0.633
Grammar24	0.34	0.902	0.962	0.098	0.637
Grammar8	0.423	0.82	0.909	0.18	0.583
Grammar23	0.365	0.892	0.936	0.108	0.677
Grammar22	0.435	0.819	0.927	0.181	0.467
Grammar21	0.343	0.905	0.953	0.095	0.705
Grammar20	0.346	0.88	0.928	0.12	0.626
Grammar1	0.378	0.892	0.943	0.108	0.652
Grammar2	0.414	0.852	0.926	0.148	0.501
Grammar0	0.428	0.84	0.932	0.161	0.525
Grammar5	0.417	0.847	0.913	0.153	0.554
Grammar6	0.348	0.902	0.944	0.098	0.656
Grammar3	0.371	0.869	0.929	0.131	0.559
Grammar4	0.415	0.828	0.891	0.172	0.609
Grammar15	0.388	0.87	0.927	0.13	0.601
Grammar14	0.388	0.883	0.936	0.117	0.66
Grammar13	0.334	0.923	0.963	0.077	0.711
Grammar12	0.439	0.81	0.89	0.19	0.504
Grammar19	0.379	0.877	0.929	0.123	0.616
Grammar18	0.391	0.871	0.938	0.129	0.549
Grammar17	0.35	0.904	0.943	0.096	0.733
Grammar16	0.417	0.836	0.901	0.164	0.54
Grammar11	0.399	0.853	0.921	0.147	0.518
Grammar10	0.366	0.889	0.944	0.111	0.676
Grammar9	0.351	0.879	0.935	0.121	0.635
Grammar7	0.401	0.858	0.904	0.142	0.633
Grammar24	0.34	0.902	0.962	0.098	0.637
Grammar8	0.423	0.82	0.909	0.18	0.583
Grammar23	0.365	0.892	0.936	0.108	0.677
Grammar22	0.435	0.819	0.927	0.181	0.467
Grammar21	0.343	0.905	0.953	0.095	0.705
Grammar20	0.346	0.88	0.928	0.12	0.626
Grammar1	0.378	0.892	0.943	0.108	0.652
Grammar2	0.414	0.852	0.926	0.148	0.501
Grammar0	0.428	0.84	0.932	0.161	0.525
Grammar5	0.417	0.847	0.913	0.153	0.554
Grammar6	0.348	0.902	0.944	0.098	0.656
Grammar3	0.371	0.869	0.929	0.131	0.559
Grammar4	0.415	0.828	0.891	0.172	0.609
Grammar15	0.388	0.87	0.927	0.13	0.601
Grammar14	0.388	0.883	0.936	0.117	0.66
Grammar13	0.334	0.923	0.963	0.077	0.711
Grammar12	0.439	0.81	0.89	0.19	0.504
Grammar19	0.379	0.877	0.929	0.123	0.616
Grammar18	0.391	0.871	0.938	0.129	0.549
Grammar17	0.35	0.904	0.943	0.096	0.733
Grammar16	0.417	0.836	0.901	0.164	0.54
Grammar11	0.399	0.853	0.921	0.147	0.518
Grammar10	0.366	0.889	0.944	0.111	0.676
Grammar9	0.351	0.879	0.935	0.121	0.635
Grammar7	0.401	0.858	0.904	0.142	0.633
Grammar24	0.34	0.902	0.962	0.098	0.637
Grammar8	0.423	0.82	0.909	0.18	0.583
Grammar23	0.365	0.892	0.936	0.108	0.677
Grammar22	0.435	0.819	0.927	0.181	0.467
Grammar21	0.343	0.905	0.953	0.095	0.705
Grammar20	0.346	0.88	0.928	0.12	0.626
Grammar1	0.378	0.892	0.943	0.108	0.652
Grammar2	0.414	0.852	0.926	0.148	0.501
Grammar0	0.428	0.84	0.932	0.161	0.525
Grammar5	0.417	0.847	0.913	0.153	0.554
Grammar6	0.348	0.902	0.944	0.098	0.656
Grammar3	0.371	0.869	0.929	0.131	0.559
Grammar4	0.415	0.828	0.891	0.172	0.609
Grammar15	0.388	0.87	0.927	0.13	0.601
Grammar14	0.388	0.883	0.936	0.117	0.66
Grammar13	0.334	0.923	0.963	0.077	0.711
Grammar12	0.439	0.81	0.89	0.19	0.504
Grammar19	0.379	0.877	0.929	0.123	0.616
Grammar18	0.391	0.871	0.938	0.129	0.549
Grammar17	0.35	0.904	0.943	0.096	0.733
Grammar16	0.417	0.836	0.901	0.164	0.54
Grammar11	0.399	0.853	0.921	0.147	0.518
Grammar10	0.366	0.889	0.944	0.111	0.676
Grammar9	0.351	0.879	0.935	0.121	0.635
Grammar7	0.401	0.858	0.904	0.142	0.633
Grammar24	0.34	0.902	0.962	0.098	0.637
Grammar8	0.423	0.82	0.909	0.18	0.583
Grammar23	0.365	0.892	0.936	0.108	0.677
Grammar22	0.435	0.819	0.927	0.181	0.467
Grammar21	0.343	0.905	0.953	0.095	0.705
Grammar20	0.346	0.88	0.928	0.12	0.626
Grammar1	0.378	0.892	0.943	0.108	0.652
Grammar2	0.414	0.852	0.926	0.148	0.501
Grammar0	0.428	0.84	0.932	0.161	0.525
Grammar5	0.417	0.847	0.913	0.153	0.554
Grammar6	0.348	0.902	0.944	0.098	0.656
Grammar3	0.371	0.869	0.929	0.131	0.559
Grammar4	0.415	0.828	0.891	0.172	0.609
Grammar15	0.388	0.87	0.927	0.13	0.601
Grammar14	0.388	0.883	0.936	0.117	0.66
Grammar13	0.334	0.923	0.963	0.077	0.711
Grammar12	0.439	0.81	0.89	0.19	0.504
Grammar19	0.379	0.877	0.929	0.123	0.616
Grammar18	0.391	0.871	0.938	0.129	0.549
Grammar17	0.35	0.904	0.943	0.096	0.733
Grammar16	0.417	0.836	0.901	0.164	0.54
Grammar11	0.399	0.853	0.921	0.147	0.518
Grammar10	0.366	0.889	0.944	0.111	0.676
Grammar9	0.351	0.879	0.935	0.121	0.635
Grammar7	0.401	0.858	0.904	0.142	0.633
Grammar24	0.34	0.902	0.962	0.098	0.637
Grammar8	0.423	0.82	0.909	0.18	0.583
Grammar23	0.365	0.892	0.936	0.108	0.677
Grammar22	0.435	0.819	0.927	0.181	0.467
Grammar21	0.343	0.905	0.953	0.095	0.705
Grammar20	0.346	0.88	0.928	0.12	0.626
Grammar1	0.378	0.892	0.943	0.108	0.652
Grammar2	0.414	0.852	0.926	0.148	0.501
Grammar0	0.428	0.84	0.932	0.161	0.525
Grammar5	0.417	0.847	0.913	0.153	0.554
Grammar6	0.348	0.902	0.944	0.098	0.656
Grammar3	0.371	0.869	0.929	0.131	0.559
Grammar4	0.415	0.828	0.891	0.172	0.609
Grammar15	0.388	0.87	0.927	0.13	0.601
Grammar14	0.388	0.883	0.936	0.117	0.66
Grammar13	0.334	0.923	0.963	0.077	0.711
Grammar12	0.439	0.81	0.89	0.19	0.504
Grammar19	0.379	0.877	0.929	0.123	0.616
Grammar18	0.391	0.871	0.938	0.129	0.549
Grammar17	0.35	0.904	0.943	0.096	0.733
Grammar16	0.417	0.836	0.901	0.164	0.54
Grammar11	0.399	0.853	0.921	0.147	0.518
Grammar10	0.366	0.889	0.944	0.111	0.676
Grammar9	0.351	0.879	0.935	0.121	0.635
Grammar7	0.401	0.858	0.904	0.142	0.633
Grammar24	0.34	0.902	0.962	0.098	0.637
Grammar8	0.423	0.82	0.909	0.18	0.583
Grammar23	0.365	0.892	0.936	0.108	0.677
Grammar22	0.435	0.819	0.927	0.181	0.467
Grammar21	0.343	0.905	0.953	0.095	0.705
Grammar20	0.346	0.88	0.928	0.12	0.626
Grammar1	0.378	0.892	0.943	0.108	0.652
Grammar2	0.414	0.852	0.926	0.148	0.501
Grammar0	0.428	0.84	0.932	0.161	0.525
Grammar5	0.417	0.847	0.913	0.153	0.554
Grammar6	0.348	0.902	0.944	0.098	0.656
Grammar3	0.371	0.869	0.929	0.131	0.559
Grammar4	0.415	0.828	0.891	0.172	0.609
Grammar15	0.388	0.87	0.927	0.13	0.601
Grammar14	0.388	0.883	0.936	0.117	0.66
Grammar13	0.334	0.923	0.963	0.077	0.711
Grammar12	0.439	0.81	0.89	0.19	0.504
Grammar19	0.379	0.877	0.929	0.123	0.616
Grammar18	0.391	0.871	0.938	0.129	0.549
Grammar17	0.35	0.904	0.943	0.096	0.733
Grammar16	0.417	0.836	0.901	0.164	0.54
Grammar11	0.399	0.853	0.921	0.147	0.518
Grammar10	0.366	0.889	0.944	0.111	0.676
Grammar9	0.351	0.879	0.935	0.121	0.635
Grammar7	0.401	0.858	0.904	0.142	0.633
Grammar24	0.34	0.902	0.962	0.098	0.637
Grammar8	0.423	0.82	0.909	0.18	0.583
Grammar23	0.365	0.892	0.936	0.108	0.677
Grammar22	0.435	0.819	0.927	0.181	0.467
Grammar21	0.343	0.905	0.953	0.095	0.705
Grammar20	0.346	0.88	0.928	0.12	0.626
Grammar1	0.378	0.892	0.943	0.108	0.652
Grammar2	0.414	0.852	0.926	0.148	0.501
Grammar0	0.428	0.84	0.932	0.161	0.525
Grammar5	0.417	0.847	0.913	0.153	0.554
Grammar6	0.348	0.902	0.944	0.098	0.656
Grammar3	0.371	0.869	0.929	0.131	0.559
Grammar4	0.415	0.828	0.891	0.172	0.609
Grammar15	0.388	0.87	0.927	0.13	0.601
Grammar14	0.388	0.883	0.936	0.117	0.66
Grammar13	0.334	0.923	0.963	0.077	0.711
Grammar12	0.439	0.81	0.89	0.19	0.504
Grammar19	0.379	0.877	0.929	0.123	0.616
Grammar18	0.391	0.871	0.938	0.129	0.549
Grammar17	0.35	0.904	0.943	0.096	0.733
Grammar16	0.417	0.836	0.901	0.164	0.54
Grammar11	0.399	0.853	0.921	0.147	0.518
Grammar10	0.366	0.889	0.944	0.111	0.676
Grammar9	0.351	0.879	0.935	0.121	0.635
Grammar7	0.401	0.858	0.904	0.142	0.633
Grammar24	0.34	0.902	0.962	0.098	0.637
Grammar8	0.423	0.82	0.909	0.18	0.583
Grammar23	0.365	0.892	0.936	0.108	0.677
Grammar22	0.435	0.819	0.927	0.181	0.467
Grammar21	0.343	0.905	0.953	0.095	0.705
Grammar20	0.346	0.88	0.928	0.12	0.626
Grammar1	0.378	0.892	0.943	0.108	0.652
Grammar2	0.414	0.852	0.926	0.148	0.501
Grammar0	0.428	0.84	0.932	0.161	0.525
Grammar5	0.417	0.847	0.913	0.153	0.554
Grammar6	0.348	0.902	0.944	0.098	0.656
Grammar3	0.371	0.869	0.929	0.131	0.559
Grammar4	0.415	0.828	0.891	0.172	0.609
Grammar15	0.388	0.87	0.927	0.13	0.601
Grammar14	0.388	0.883	0.936	0.117	0.66
Grammar13	0.334	0.923	0.963	0.077	0.711
Grammar12	0.439	0.81	0.89	0.19	0.504
Grammar19	0.379	0.877	0.929	0.123	0.616
Grammar18	0.391	0.871	0.938	0.129	0.549
Grammar17	0.35	0.904	0.943	0.096	0.733
Grammar16	0.417	0.836	0.901	0.164	0.54
Grammar11	0.399	0.853	0.921	0.147	0.518
Grammar10	0.366	0.889	0.944	0.111	0.676
Grammar9	0.351	0.879	0.935	0.121	0.635
Grammar7	0.401	0.858	0.904	0.142	0.633
Grammar24	0.34	0.902	0.962	0.098	0.637
